"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"OTHERS","2023-06-15","1435.43","1448.86","1410.39","1438.39","0.21 %","83,534,330.50","-"
"OTHERS","2023-06-14","1402.52","1463.72","1402.52","1435.42","2.35 %","207,590,178.90","-"
"OTHERS","2023-06-13","1381.69","1416.66","1376.16","1402.52","1.51 %","114,115,273.80","-"
"OTHERS","2023-06-12","1381.05","1418.76","1372.97","1381.69","0.05 %","79,544,802.70","-"
"OTHERS","2023-06-11","1353.96","1388.07","1353.96","1381.04","2.00 %","160,578,985.90","-"
"OTHERS","2023-06-08","1337.54","1370.85","1334.6","1353.95","0.42 %","114,921,227.90","-"
"OTHERS","2023-06-07","1348.04","1403.97","1346.18","1348.34","0.02 %","99,532,049.10","-"
"OTHERS","2023-06-06","1344.09","1352.46","1338.21","1348.03","0.29 %","84,084,130.40","-"
"OTHERS","2023-06-05","1364.72","1381.08","1340.45","1344.08","-1.51 %","41,589,357.30","-"
"OTHERS","2023-06-04","1322.35","1379.89","1322.35","1364.72","3.20 %","44,118,766.20","-"
"OTHERS","2023-06-01","1318.37","1340.66","1304.74","1322.34","0.30 %","32,144,663.00","-"
"OTHERS","2023-05-31","1338.57","1345.6","1306.27","1318.37","-1.51 %","72,344,257.00","-"
"OTHERS","2023-05-30","1401.2","1401.2","1333.28","1338.57","-3.28 %","85,464,893.00","-"
"OTHERS","2023-05-28","1401.8","1416.53","1377.86","1383.91","-1.28 %","117,426,804.00","-"
"OTHERS","2023-05-24","1380.71","1401.8","1374.66","1401.79","1.53 %","77,024,790.40","-"
"OTHERS","2023-05-23","1348.73","1384.78","1348.73","1380.71","2.37 %","106,110,811.40","-"
"OTHERS","2023-05-22","1348.08","1362.28","1332.8","1348.73","0.05 %","30,444,125.00","-"
"OTHERS","2023-05-21","1351.88","1370.54","1341.8","1348.08","0.32 %","53,535,878.20","-"
"OTHERS","2023-05-18","1331.88","1359","1331.88","1343.8","0.89 %","100,028,458.10","-"
"OTHERS","2023-05-17","1301.06","1339.84","1301.06","1331.88","2.37 %","62,090,322.00","-"
"OTHERS","2023-05-16","1312.76","1327.52","1298.63","1301.06","-0.89 %","23,620,602.00","-"
"OTHERS","2023-05-15","1320.21","1335.34","1304.85","1312.75","-0.57 %","28,043,479.40","-"
"OTHERS","2023-05-14","1358.94","1362.89","1320.21","1320.21","-2.07 %","31,371,295.50","-"
"OTHERS","2023-05-11","1352.46","1365.94","1328.12","1348.13","-0.32 %","37,032,165.50","-"
"OTHERS","2023-05-10","1363.24","1371.32","1347.47","1352.45","-0.79 %","33,045,752.80","-"
"OTHERS","2023-05-09","1359.87","1384.44","1351.33","1363.23","0.25 %","21,574,902.50","-"
"OTHERS","2023-05-08","1368.64","1384.74","1353.15","1359.86","-0.64 %","22,434,106.90","-"
"OTHERS","2023-05-07","1379.12","1385.95","1365.55","1368.63","-0.76 %","19,080,067.20","-"
"OTHERS","2023-05-04","1366.65","1415.23","1359.5","1379.11","0.91 %","29,381,350.10","-"
"OTHERS","2023-05-03","1381.17","1386.41","1364.63","1366.65","-1.05 %","25,993,072.30","-"
"OTHERS","2023-05-02","1380.93","1390.22","1370.34","1381.16","0.02 %","35,924,172.90","-"
"OTHERS","2023-04-30","1399.21","1400.9","1380.54","1380.93","-1.31 %","44,095,599.80","-"
"OTHERS","2023-04-27","1409.02","1412.26","1395.92","1399.21","-0.70 %","14,262,477.40","-"
"OTHERS","2023-04-26","1414.46","1425.35","1401.17","1409.02","-0.38 %","15,709,048.10","-"
"OTHERS","2023-04-25","1407.72","1419.11","1403.88","1414.46","0.48 %","14,134,617.20","-"
"OTHERS","2023-04-24","1403.23","1415.97","1395.26","1407.72","0.32 %","12,916,600.20","-"
"OTHERS","2023-04-23","1405.22","1407.94","1391.67","1403.23","-0.14 %","17,048,081.80","-"
"OTHERS","2023-04-20","1418.37","1432.42","1405.22","1405.22","-0.93 %","13,359,108.40","-"
"OTHERS","2023-04-19","1411.9","1445.45","1411.25","1418.37","0.46 %","13,067,645.50","-"
"OTHERS","2023-04-18","1412.26","1426.74","1394.97","1411.9","-0.03 %","17,542,190.20","-"
"OTHERS","2023-04-17","1424.35","1435.47","1407.29","1412.26","-0.85 %","17,031,583.90","-"
"OTHERS","2023-04-16","1431.27","1450.5","1411.61","1424.35","-0.48 %","23,076,621.10","-"
"OTHERS","2023-04-13","1463.38","1463.9","1426.74","1431.27","-1.45 %","31,100,128.10","-"
"OTHERS","2023-04-12","1404.74","1453.1","1404.74","1452.29","3.38 %","34,992,276.80","-"
"OTHERS","2023-04-11","1387.28","1410.14","1384.04","1404.74","1.26 %","22,811,921.00","-"
"OTHERS","2023-04-10","1376.46","1398.17","1376.46","1387.28","0.04 %","18,968,361.80","-"
"OTHERS","2023-04-09","1403.77","1414.34","1384.25","1386.74","-1.21 %","31,500,103.30","-"
"OTHERS","2023-04-06","1414.74","1435.1","1402.84","1403.77","-0.78 %","35,624,570.80","-"
